janamdivas	जन्मदिवस
warnish	वार्निश
fanki	फंकी
dekhnewaale	देखनेवाले
gunratn	गुणरत्न
krishandas	कृष्णदास
sahkarita	सहकारिता
jugalraj	जुगराज
gopa	गोपा
niraahaar	निराहार
soojhboojh	सूझबूझ
dekhnevale	देखनेवाले
prajapita	प्रजापिता
waalo	वालो
swachalan	स्वचालन
raigad	रायगढ़
roganuon	रोगाणुओं
casino	कसीनो
auron	औरों
amaanviya	अमानवीय
tamtaa	टम्टा
tikauu	टिकाऊ
pracharakon	प्रचारकों
aakanshayen	आकांक्षाएं
jarurato	जरूरतों
aadarshon	आदर्शों
aahvaan	आहवान
dubhar	दूभर
dvandvon	द्वंद्वों
jaayenge	जाएंगे
neeche	नीचे
meerjapur	मीरजापुर
shariy	क्षारीय
suza	सूझा
suchiyan	सूचियां
kalp	कल्प
kaleshwar	कालेश्वर
pranton	प्रांतों
bashrte	बशर्ते
singhdwaar	सिंहद्वार
bhupati	भूपति
britishon	ब्रिटिशों
priks	प्रिक्स
abhaneri	आभानेरी
dasavaan	दसवां
samvahak	संवाहक
shubhkaamnayen	शुभकामनाएं
samjhaaya	समझाया
rivers	रिवर्स
karnali	करनाली
bhagywati	भाग्यवती
shaury	शौर्य
gantvya	गंतव्य
punarchana	पुनर्रचना
daudi	दाउदी
ghatakar	घटाकर
punrutthan	पुनरुत्थान
ci	सीआई
shaitaan	शैतान
upcharon	उपचारों
kiska	किसका
kanoonsammat	कानूनसम्मत
sikood	सिकोड़
kathnon	कथनों
uluk	उलूक
banswada	बांसवाड़ा
ruyi	रूई
derapur	डेरापुर
kadhaai	कढ़ाई
chahie	चाहिए
ummedsingh	उम्मेदसिंह
kaside	कसीदे
dharmon	धर्मों
manakar	मनाकर
baburnama	बाबरनामा
hathini	हथिनी
lajpat	लाजपत
bichon	बीचों
ubhre	उभरे
baithane	बैठाने
kbayali	कबायली
bheench	भींच
gahno	गहनों
redius	रेडियस
chukaya	चुकाया
bator	बटोर
jhadi	झाड़ी
pehlu	पहलू
zikra	ज़िक्र
ankganit	अंकगणित
bulke	बुल्के
pahadon	पहाड़ों
roel	रोएल
walker	वॉकर
users	यूजर्स
nutrition	न्यूट्रीशन
nunar	लूनर
viniyam	विनियम
idles	आइडल्स
dhaamnod	धामनोद
lazer	लेज़र
terror	टेरर
avshoshit	अवशोषित
gunthi	गुंथी
fakadane	फड़कने
adhinav	अधिनव
sankraman	संक्रमण
pallaw	पल्लव
farooq	फारूक
ijaad	ईजाद
yaunachar	यौनाचार
isavi	ईसवी
runadata	ऋणदाता
basharat	बशारत
shekh	शेख़
caisal	कैसल
dvapara	द्वापर
talkatora	तालकटोरा
bhavpurn	भावपूर्ण
kanche	कंचे
jatav	जाटव
idc	आईडीसी
endorphin	एंडोर्फिन
ayaaj	अयाज
hiranyaksha	हिरण्याक्ष
darren	डैरेन
tickiya	टिकिया
patharilaa	पथरीला
parighatanaa	परिघटना
tarlata	तरलता
surajmal	सूरजमल
judva	जुड़वा
michalaanaa	मिचलाना
pent	पेंट
bantware	बंटवारे
bostriya	बोस्निया
moily	मोइली
steek	स्टीक
swachhand	स्वछंद
vaishvikaran	वैश्वीकरण
bhutv	भूतत्व
jasdev	जसदेव
diyasalae	दियासलाई
pathypustakon	पाठ्यपुस्तकों
niyaazov	नियाज़ोव
katya	कात्य
marham	मरहम
ashadh	आषाढ़
badlate	बदलते
pesico	पेप्सिको
padriyon	पादरियों
dhamdha	धमधा
khandala	खंडाला
visheshagyon	विशेषज्ञों
muktidata	मुक्तिदाता
divyanka	दिव्यांका
rituon	ऋतुओं
bharnposhan	भरणपोषण
kamaaya	कमाया
shankargarh	शंकरगढ़
bhooton	भूतों
upsamooh	उपसमूह
utsahjanak	उत्साहजनक
alice	एलिस
purattatav	पुरातत्त्व
kholna	खोलना
siachen	सियाचीन
pitaputr	पितापुत्र
voton	वोटों
unnisavin	उन्नीसवीं
chunai	चुनाई
deren	डेरेन
yippi	यिप्पी
dharmasastron	धर्मशास्त्रों
finals	फाइनल्स
piliya	पीलिया
mharo	म्हारो
fraunhofer	फ्राउनहोफर
surmy	सुरम्य
manavshastra	मानवशास्त्र
khakhi	खाकी
rizakar	रिझाकर
aayogakon	आयोजकों
dvaipayan	द्वैपायन
garjiya	गर्जिया
muhammadabad	मुहम्मदाबाद
dhananjay	धनंजय
chirmiri	चिरमिरी
haword	हावर्ड
jaanmaal	जानमाल
hubbybulla	हबीबुल्ला
bhramar	भ्रमर
safadarjung	सफदरजंग
sarsawa	सरसावा
nayakatva	नायकत्व
paahsarvgaayika	पार्श्वगायिका
chhodani	छोड़नी
chandidas	चंडीदास
ballam	बल्लम
bhasmibhut	भस्मीभूत
sirdard	सिरदर्द
karyakalap	कार्यकलाप
pavaiyaa	पवैया
kootpon	कूपों
ramdut	रामदूत
zincs	जिंक्स
punarchakran	पुनर्चक्रण
panaar	पनार
nijeekaran	निजीकरण
manjar	मंजर
beers	बियर्स
mukhbeeri	मुखबिरी
raee	राई
darshakon	दर्शकों
janter	जंतर
nimaad	निमाड़
dhadlle	धड़ल्ले
joothe	जूठे
baasu	बासु
sheshnaag	शेषनाग
ummid	उम्मीद
kritakrity	कृतकृत्य
sacchi	सच्ची
ajarbejan	अजरबेजान
javaabi	जवाबी
raajvanshon	राजवंशों
doordarshi	दूरदर्शी
belgaum	बेलगांव
kanwaljeet	कंवलजीत
luxemburg	लक्ज़मबर्ग
basudeb	बासुदेब
navirch	नॉर्विच
himanshu	हिमांशु
shma	शमा
milaayen	मिलाएं
luteri	लुटेरी
chonch	चोंच
nukile	नुकीले
dhanushbaan	धनुषबाण
shivkar	शिवकर
astitvvad	अस्तित्ववाद
devdatt	देवदत्त
khasre	खसरे
paintalis	पैंतालिस
parabrahma	परब्रह्म
padhate	पढ़ते
nimnatam	निम्नतम
gahmari	गहमरी
lekhagar	लेखागार
hs	एचएस
vikhandan	विखंडन
purnvichar	पुर्नविचार
pathologist	पैथोलॉजिस्ट
shravakon	श्रावकों
bodhisatva	बोधिसत्व
bulae	बुलाए
gehrai	गहराई
gahare	गहरे
nimagn	निमग्न
pankh	पंख
maushami	मौशमी
trutiyan	त्रुटियां
namoonon	नमूनों
superman	सुपरमैन
talukaon	तालुकाओं
mahuva	महुआ
pehchanta	पहचानता
rasaulee	रसौली
kaptaani	कप्तानी
mahakaleshwar	महाकालेश्वर
shild	शिल्ड
antdrashti	अंतर्दृष्टि
kha	खा
chakratirth	चक्रतीर्थ
shrot	श्रोत
jivavigyani	जीवविज्ञानी
slipper	स्लीपर
janasamuha	जनसमूह
aajmaai	आजमाई
keeth	कीथ
navniyukt	नवनियुक्त
chaukor	चौकोर
baberu	बबेरू
margdarshakon	मार्गदर्शकों
daliye	दलीय
moolniwasi	मूलनिवासी
ethleto	एथलीटों
dhaktaa	ढकता
pracharyon	प्राचार्यों
harriet	हैरियट
ganon	गणों
sayad	सैयद
mentors	मैटर्स
vidambna	विडंबना
chees	चीज़
aashavaan	आशावान
dhanbal	धनबल
old	ओल्ड
dugdh	दुग्ध
desert	डेजर्ट
dilaai	दिलाई
shahjadon	शहजादों
baadhaarahit	बाधारहित
turuk	तुरुक
daliyaa	दलिया
adhyayan	अध्य्यन
dwaipayan	द्वैपायन
eyarliner	एयरलाइनर
manavkalyan	मानवकल्याण
klaks	क्लक्स
kalakari	कलाकारी
kick	किक
binduon	बिंदुओं
asuvidhajanak	असुविधाजनक
art	आर्ट
avadharnaye	अवधारणाएं
abhadrata	अभद्रता
poochhtaa	पूछता
shaktishali	शाक्तिशाली
ghoshanapatr	घोषणापत्र
chimaniyon	चिमनियों
jutaana	जुटाना
galiyon	गलियों
bonus	बोनस
shakhs	शख्स
sarika	सारिका
puratnakal	पुरातनकाल
jamaanee	जमानी
yogon	योगों
vatumarg	वायुमार्ग
paudhaa	पौधा
transval	ट्रांसवाल
colgate	कोलगेट
mithakon	मिथकों
jutaataa	जुटाता
grahpravesh	गृहप्रवेश
toliyon	टोलियों
rehearsal	रिहर्सल
ropa	रोपा
heranon	हिरनों
seemaein	सीमाएं
dirghayu	दीर्घायु
tatoo	टैटू
dharmaarth	धर्मार्थ
thyen	थ्येन
reporting	रिपोर्टिंग
naleen	नलिन
vaccum	वैक्यूम
aanganvadi	आंगनवाड़ी
galaxy	गैलेक्सी
davaaiyon	दवाईयों
grenedo	ग्रेनेडों
chalaygi	चलाएगी
paschaataap	पश्चाताप
sarvsahmati	सर्वसहमति
chalegin	चलेंगी
gopashtami	गोपाष्टमी
pag	पग
doctoron	डॉक्टरों
kathinaaiyan	कठिनाइयाँ
arnav	अरनब
julte	जुलते
phareb	फरेब
phonon	फोनों
vatsalya	वात्सल्य
ghotale	घोटाले
ac	एसी
kashgam	कषगम
pullela	पुलेला
traivis	ट्रैविस
poorane	पूराने
andaaja	अंदाजा
buddhimaani	बुद्धिमानी
nagarikaran	नगरीकरण
rassling	रेसलिंग
ekikaran	एकीकरण
balpur	बालपुर
moorkha	मूर्खों
